hhid,household_serial_no,taz,mgra,hinccat1,hinc,hworkers,veh,persons,hht,bldgsz,unittype,version,poverty
784814,0,1941,49,5,492189,2,2,2,1,2,0,0,28.54924594
784815,0,1941,49,4,100161,0,1,1,4,9,0,0,7.84960815
784816,0,1941,49,5,269250,2,2,2,2,7,0,0,15.61774942
784817,0,1941,49,2,45234,0,1,1,6,9,0,0,3.544984326
784818,0,1941,49,3,70112,0,1,1,4,2,0,0,5.494725705
784819,0,1941,49,4,146472,0,1,1,4,9,0,0,11.47899687
784820,0,1941,49,5,344640,2,2,2,1,2,0,0,19.99071926
784821,0,1941,49,5,274635,0,1,1,4,9,0,0,21.52311912
784822,0,1941,49,5,328485,0,1,1,4,2,0,0,25.74333856
784823,0,1941,49,2,58158,0,1,1,6,6,0,0,4.557836991
784824,0,1941,49,5,188475,0,1,1,6,9,0,0,14.77076803
784825,0,1941,49,5,177705,0,1,1,6,8,0,0,13.92672414
784826,0,1941,49,5,177705,0,1,1,6,8,0,0,13.92672414
784827,0,1941,49,5,177705,0,1,1,6,8,0,0,13.92672414
784828,0,1941,49,5,441570,2,1,2,1,9,0,0,25.61310905
784829,0,1941,49,5,161550,0,1,1,4,9,0,0,12.66065831
784830,0,1941,49,5,193860,0,1,1,4,9,0,0,15.19278997
784831,0,1941,49,5,193860,0,1,1,4,9,0,0,15.19278997
784832,0,1941,49,5,193860,0,1,1,4,9,0,0,15.19278997
784833,0,1941,49,5,215400,0,2,1,4,3,0,0,16.88087774
784834,0,1941,49,1,1292,0,0,5,3,6,0,0,0.042125163
784835,0,1941,49,5,189013,0,1,1,6,9,0,0,14.81297022
784978,0,1505,73,5,266772,0,1,1,6,9,0,0,20.90696708
784979,0,1505,73,2,52880,2,2,11,2,4,0,0,0.918705698
784980,0,1505,73,5,269357,0,3,1,6,2,0,0,21.10953762
784981,0,1505,73,3,60322,1,2,2,1,2,0,0,3.49900058
784982,0,1505,73,5,393105,1,2,2,1,9,0,0,22.80191415
784983,0,1505,73,5,244479,0,1,1,6,9,0,0,19.15979624
784984,0,1505,73,2,34356,1,2,2,2,6,0,0,1.992824826
784985,0,1505,73,5,495312,0,2,2,1,8,0,0,28.73041183
784986,0,1505,73,5,469464,0,2,2,1,2,0,0,27.23110789
784987,0,1505,73,5,198706,1,4,2,1,2,0,0,11.52589907
784988,0,1505,73,5,198706,1,4,2,1,2,0,0,11.52589907
784989,0,1505,73,3,77544,1,1,3,2,5,0,0,3.570165746
784990,0,1505,73,2,59019,0,0,2,5,6,0,0,3.423410673
784991,0,1505,73,4,124932,2,1,3,1,9,0,0,5.751933702
784992,0,1505,73,5,437262,0,1,1,6,2,0,0,34.26818182
784993,0,1505,73,5,221431,0,1,1,4,9,0,0,17.35354232
784994,0,1505,73,5,323100,0,1,1,6,2,0,0,25.32131661
784995,0,1505,73,5,290790,0,1,1,6,2,0,0,22.78918495
784996,0,1505,73,5,590896,2,4,3,3,2,0,0,27.20515884
784997,0,1505,73,3,63650,1,1,2,1,5,0,0,3.692035963
784998,0,1505,73,5,510390,2,3,5,1,2,0,0,16.63592894
784999,0,1505,73,4,105546,2,2,5,1,3,0,0,3.440221643
785000,0,1505,73,5,200322,0,1,1,4,2,0,0,15.6992163
785001,0,1505,73,5,212169,0,0,1,6,9,0,0,16.62766458
785002,0,2121,74,2,43080,1,2,2,1,2,0,0,2.498839907
785003,0,2121,74,2,43080,1,2,2,1,2,0,0,2.498839907
785004,0,2121,74,3,64835,0,1,1,6,9,0,0,5.081144201
785005,0,2121,74,5,165858,0,2,1,4,8,0,0,12.99827586
785006,0,2121,74,3,61378,0,0,1,4,6,0,0,4.810206113
785007,0,2121,74,5,619598,0,1,1,4,9,0,0,48.55784483
785008,0,2121,74,5,617121,0,2,2,5,9,0,0,35.79588167
785009,0,2121,74,5,161550,1,1,2,1,9,0,0,9.370649652
785010,0,2121,74,4,127086,0,1,2,5,7,0,0,7.371577726
785011,0,2121,74,2,54948,0,2,2,5,6,0,0,3.187270302
785012,0,2121,74,5,174474,1,2,2,1,9,0,0,10.12030162
785013,0,2121,74,1,0,0,1,1,6,9,0,0,0
785014,0,2121,74,2,45234,0,1,2,7,9,0,0,2.623781903
785015,0,2121,74,3,66020,0,1,1,4,8,0,0,5.173989028
785016,0,2121,74,4,100161,1,2,2,3,7,0,0,5.809802784
785017,0,2121,74,4,107700,0,1,1,4,4,0,0,8.440438871
785018,0,2121,74,5,166935,0,1,2,7,6,0,0,9.68300464
785019,0,2121,74,4,144641,0,2,1,4,8,0,0,11.3355094
785020,0,2121,74,3,80775,0,1,1,4,8,0,0,6.330329154
785021,0,2121,74,5,217661,2,1,2,1,4,0,0,12.62538863
785022,0,2121,74,3,66020,0,2,2,5,2,0,0,3.829472158
785023,0,2121,74,1,23047,0,0,1,6,8,0,0,1.806253918
785024,0,1897,81,1,22617,1,3,2,2,2,0,0,1.311890951
785025,0,1897,81,5,183090,2,2,2,1,7,0,0,10.62006961
785026,0,1897,81,3,66774,0,1,1,4,5,0,0,5.2330721
785027,0,1897,81,5,296175,2,2,2,1,9,0,0,17.17952436
785028,0,1897,81,4,118039,2,2,2,1,2,0,0,6.846821346
785029,0,1897,81,1,0,0,0,1,4,7,0,0,0
785030,0,1897,81,1,0,0,0,1,4,7,0,0,0
785031,0,1897,81,1,25201,0,0,1,4,6,0,0,1.975062696
785032,0,1897,81,2,49326,0,2,1,4,9,0,0,3.865721003
785033,0,1897,81,3,92083,0,1,1,4,9,0,0,7.216575235
785034,0,1897,81,1,11847,0,0,1,4,9,0,0,0.928448276
785035,0,1897,81,1,11847,0,0,1,4,9,0,0,0.928448276
785036,0,1897,81,5,369411,0,0,1,4,9,0,0,28.95070533
785037,0,1897,81,2,43080,0,1,1,4,8,0,0,3.376175549
785038,0,1897,81,5,157242,2,4,2,1,3,0,0,9.120765661
785039,0,1897,81,5,204630,0,2,2,5,3,0,0,11.86948956
785040,0,1897,81,5,161550,0,3,3,7,5,0,0,7.437845304
785041,0,1897,81,2,59235,0,1,1,6,8,0,0,4.642241379
785042,0,1897,81,3,68497,0,1,1,4,9,0,0,5.368119122
785043,0,1897,81,2,57511,0,1,1,4,2,0,0,4.507194357
785044,0,1897,81,2,53634,0,0,1,6,8,0,0,4.203338558
785045,0,1897,81,3,75390,0,1,1,6,2,0,0,5.90830721
785046,0,1897,81,3,61378,0,0,1,4,6,0,0,4.810206113
785047,0,1897,81,1,25848,0,1,2,5,2,0,0,1.499303944
785048,0,1897,81,2,59235,0,1,1,6,7,0,0,4.642241379
785049,0,1897,81,1,12708,0,0,1,4,9,0,0,0.995971787
785050,0,1897,81,1,12708,0,0,1,4,9,0,0,0.995971787
785051,0,1897,81,1,12708,0,0,1,4,9,0,0,0.995971787
785052,0,1897,81,4,142164,2,2,2,1,7,0,0,8.246171694
785053,0,1897,81,1,11523,0,0,1,4,8,0,0,0.903126959
785054,0,1897,81,1,11523,0,0,1,4,8,0,0,0.903126959
785055,0,1897,81,1,11523,0,0,1,4,8,0,0,0.903126959
785056,0,1897,81,1,11523,0,0,1,4,8,0,0,0.903126959
785057,0,1897,81,2,39849,0,1,1,6,6,0,0,3.122962382
785058,0,1897,81,4,142164,2,2,2,1,4,0,0,8.246171694
785059,0,1897,81,3,84006,0,0,1,6,9,0,0,6.58354232
785060,0,1897,81,1,23500,0,0,1,6,8,0,0,1.841703762
785061,0,1897,81,5,390412,2,2,2,1,9,0,0,22.64573666
785062,0,1897,81,2,30586,0,1,1,6,9,0,0,2.397084639
785063,0,1897,81,3,86160,0,1,1,6,3,0,0,6.752351097
785064,0,1897,81,3,94776,0,1,1,6,9,0,0,7.427586207
785065,0,1897,81,3,89821,2,2,2,1,7,0,0,5.210081206
785066,0,1897,81,1,11954,0,0,1,4,9,0,0,0.936888715
785067,0,1897,81,1,11954,0,0,1,4,9,0,0,0.936888715
785068,0,1897,81,1,16047,0,1,1,4,2,0,0,1.257625392
785069,0,1897,81,5,225168,2,2,2,1,9,0,0,13.06081148
785070,0,1897,81,3,77544,0,1,1,4,6,0,0,6.077115987
785071,0,1897,81,1,23694,1,2,2,3,6,0,0,1.374361949
785072,0,1897,81,5,199245,0,2,2,5,9,0,0,11.55713457
785073,0,1897,81,3,75390,0,1,1,4,6,0,0,5.90830721
785074,0,1897,81,1,26925,1,1,2,2,6,0,0,1.561774942
785075,0,1897,81,1,26925,1,1,2,2,6,0,0,1.561774942
785076,0,1897,81,4,129240,0,2,2,7,8,0,0,7.496519722
785077,0,1897,81,1,14324,0,1,1,4,9,0,0,1.12257837
785078,0,1897,81,1,14324,0,1,1,4,9,0,0,1.12257837
785079,0,1897,81,5,226170,0,2,2,5,7,0,0,13.11890951
785080,0,1897,81,1,20463,0,1,1,4,4,0,0,1.603683386
785081,0,1897,81,1,20463,0,1,1,4,4,0,0,1.603683386
785082,0,1897,81,5,617121,0,2,2,5,9,0,0,35.79588167
785083,0,1897,81,5,617121,0,2,2,5,9,0,0,35.79588167
785084,0,1897,81,5,215400,0,2,2,5,9,0,0,12.49419954
785085,0,1897,81,1,15767,0,0,1,4,9,0,0,1.235680251
785086,0,1897,81,2,43080,0,1,1,6,2,0,0,3.376175549
785087,0,1897,81,2,30156,0,1,1,6,9,0,0,2.363322884
785088,0,1897,81,5,323100,1,1,2,3,3,0,0,18.7412993
785089,0,1897,81,3,86160,0,1,1,6,8,0,0,6.752351097
785090,0,1897,81,3,99191,0,1,2,5,9,0,0,5.753578886
785091,0,1897,81,5,226170,2,3,3,3,9,0,0,10.41298343
785092,0,1897,81,4,140010,0,2,2,7,2,0,0,8.121229698
785093,0,1897,81,4,141733,2,2,2,1,9,0,0,8.221183295
785094,0,1897,81,2,51049,0,0,1,6,2,0,0,4.000768025
785095,0,1897,81,2,54927,0,1,1,4,9,0,0,4.304623824
785096,0,1897,81,3,86160,0,1,1,6,9,0,0,6.752351097
